Date,OPEN,HIGH,LOW,PREV_CLOSE,VOLUME,symbol_name
10/27/2023,2240.00,2273.50,2235.95,2226.50,5885542.00,RELIANCE
10/26/2023,2251.00,2258.00,2220.30,2257.95,7611267.00,RELIANCE
10/25/2023,2250.05,2281.20,2243.00,2263.20,5810344.00,RELIANCE
10/23/2023,2290.00,2306.25,2255.25,2299.10,3926981.00,RELIANCE
10/20/2023,2300.00,2314.70,2296.30,2306.15,4456656.00,RELIANCE
10/19/2023,2312.00,2321.80,2301.00,2324.00,6016278.00,RELIANCE
10/18/2023,2355.25,2367.00,2321.00,2355.25,4459160.00,RELIANCE
10/17/2023,2356.00,2359.70,2341.30,2344.05,3964090.00,RELIANCE
10/16/2023,2345.00,2354.55,2336.00,2349.30,2964518.00,RELIANCE
10/13/2023,2340.00,2357.50,2329.15,2349.40,5075158.00,RELIANCE
10/12/2023,2343.85,2359.35,2338.15,2345.05,6277225.00,RELIANCE
10/11/2023,2314.45,2349.70,2313.00,2308.40,4907059.00,RELIANCE
10/10/2023,2306.55,2317.90,2303.75,2298.25,5118016.00,RELIANCE
10/9/2023,2308.10,2311.95,2295.00,2318.00,3788439.00,RELIANCE
10/6/2023,2317.05,2324.80,2312.05,2314.10,2715513.00,RELIANCE
10/5/2023,2319.25,2329.40,2309.00,2314.15,5476841.00,RELIANCE
10/4/2023,2309.00,2319.00,2295.10,2318.15,5143193.00,RELIANCE
10/3/2023,2329.95,2335.60,2316.00,2345.00,4429528.00,RELIANCE
9/29/2023,2341.80,2369.10,2334.10,2334.10,6171007.00,RELIANCE
9/28/2023,2383.00,2383.00,2325.00,2368.90,7259173.00,RELIANCE
9/27/2023,2343.50,2371.80,2338.50,2342.50,5861389.00,RELIANCE
9/26/2023,2338.55,2350.20,2335.60,2340.45,5043891.00,RELIANCE
9/25/2023,2350.40,2360.70,2335.10,2354.95,7127442.00,RELIANCE
9/22/2023,2376.00,2382.45,2350.00,2364.80,9588393.00,RELIANCE
9/21/2023,2374.95,2390.10,2360.00,2382.15,6113091.00,RELIANCE
9/20/2023,2423.05,2427.60,2355.00,2436.45,28540942.00,RELIANCE
9/18/2023,2440.05,2451.00,2432.05,2457.85,3758150.00,RELIANCE
9/15/2023,2468.00,2468.00,2449.50,2453.30,12734296.00,RELIANCE
9/14/2023,2460.00,2465.80,2445.00,2451.05,4604818.00,RELIANCE
9/13/2023,2440.00,2462.65,2426.25,2438.85,6401669.00,RELIANCE
9/12/2023,2483.00,2483.00,2435.95,2474.60,8127833.00,RELIANCE
9/11/2023,2452.00,2476.85,2452.00,2448.20,6635537.00,RELIANCE
9/8/2023,2440.00,2456.00,2422.95,2432.00,11554644.00,RELIANCE
9/7/2023,2421.70,2438.25,2411.00,2428.70,6826286.00,RELIANCE
9/6/2023,2421.10,2436.15,2417.25,2423.60,4100185.00,RELIANCE
9/5/2023,2420.00,2433.95,2412.45,2410.70,4337938.00,RELIANCE
9/4/2023,2412.65,2423.65,2405.30,2412.65,4673813.00,RELIANCE
9/1/2023,2406.55,2425.65,2401.65,2407.00,9056421.00,RELIANCE
8/31/2023,2423.00,2425.00,2399.90,2418.05,10819300.00,RELIANCE
8/30/2023,2432.00,2443.00,2415.00,2420.35,6084473.00,RELIANCE
8/29/2023,2452.05,2453.45,2408.15,2443.75,8438322.00,RELIANCE
8/28/2023,2472.00,2484.00,2431.10,2468.35,6290413.00,RELIANCE
8/25/2023,2456.00,2505.00,2442.60,2479.80,11111200.00,RELIANCE
8/24/2023,2539.90,2539.90,2471.00,2522.20,7070010.00,RELIANCE
8/23/2023,2524.20,2542.85,2516.95,2519.40,4758976.00,RELIANCE
8/22/2023,2516.90,2537.95,2499.00,2520.00,3856522.00,RELIANCE
8/21/2023,2539.95,2555.45,2515.65,2556.80,4610873.00,RELIANCE
8/18/2023,2531.25,2577.60,2508.55,2538.00,9319989.00,RELIANCE
8/17/2023,2567.10,2578.10,2532.85,2575.15,6836872.00,RELIANCE
8/16/2023,2551.00,2582.80,2551.00,2577.25,5101556.00,RELIANCE
8/14/2023,2539.00,2582.30,2525.00,2547.15,4787906.00,RELIANCE
8/11/2023,2532.45,2558.85,2512.35,2536.45,11089665.00,RELIANCE
8/10/2023,2524.95,2550.00,2508.45,2525.20,7735299.00,RELIANCE
8/9/2023,2504.85,2529.00,2481.10,2508.65,5743293.00,RELIANCE
8/8/2023,2528.00,2534.45,2499.55,2523.85,4922036.00,RELIANCE
8/7/2023,2521.00,2528.40,2505.00,2509.55,2991435.00,RELIANCE
8/4/2023,2498.80,2516.00,2471.60,2475.90,11442805.00,RELIANCE
8/3/2023,2475.30,2500.90,2458.05,2486.35,5084175.00,RELIANCE
8/2/2023,2509.20,2512.00,2463.60,2513.20,6374107.00,RELIANCE
8/1/2023,2555.00,2559.00,2505.30,2549.25,4768316.00,RELIANCE
7/31/2023,2527.85,2553.90,2517.95,2527.85,4275587.00,RELIANCE
7/28/2023,2512.05,2542.85,2500.55,2502.70,10413926.00,RELIANCE
7/27/2023,2534.05,2537.65,2490.35,2526.20,8613449.00,RELIANCE
7/26/2023,2485.00,2547.00,2485.00,2485.80,6455506.00,RELIANCE
7/25/2023,2494.00,2505.20,2480.00,2487.40,6013010.00,RELIANCE
7/24/2023,2481.00,2514.95,2469.30,2538.75,11863933.00,RELIANCE
7/21/2023,2609.00,2614.90,2523.60,2619.85,15124619.00,RELIANCE
7/20/2023,2580.00,2630.95,2580.00,2841.85,19358812.00,RELIANCE
7/19/2023,2830.00,2856.00,2797.00,2820.45,18054869.00,RELIANCE
7/18/2023,2817.00,2837.45,2793.00,2796.70,11937761.00,RELIANCE
7/17/2023,2747.00,2815.05,2728.00,2740.70,10254545.00,RELIANCE
7/14/2023,2750.00,2760.90,2725.10,2743.00,6979790.00,RELIANCE
7/13/2023,2783.90,2799.00,2737.25,2767.75,6776172.00,RELIANCE
7/12/2023,2766.30,2802.00,2761.65,2764.70,8645662.00,RELIANCE
7/11/2023,2752.90,2770.00,2737.60,2735.05,9262001.00,RELIANCE
7/10/2023,2688.90,2756.00,2675.00,2633.60,15340262.00,RELIANCE
7/7/2023,2635.00,2664.95,2628.00,2638.75,6172684.00,RELIANCE
7/6/2023,2576.05,2644.45,2576.05,2584.50,8822948.00,RELIANCE
7/5/2023,2609.00,2609.00,2575.80,2588.75,4729479.00,RELIANCE
7/4/2023,2625.00,2625.00,2573.25,2615.70,3720447.00,RELIANCE
7/3/2023,2558.05,2622.00,2555.35,2550.25,5609248.00,RELIANCE
6/30/2023,2546.40,2556.65,2533.45,2529.50,5146441.00,RELIANCE
6/28/2023,2513.00,2537.85,2497.85,2496.45,5239872.00,RELIANCE
6/27/2023,2496.55,2509.50,2486.65,2495.55,4471687.00,RELIANCE
6/26/2023,2507.00,2515.40,2488.70,2514.75,5833893.00,RELIANCE
6/23/2023,2528.90,2533.40,2512.00,2535.50,3059084.00,RELIANCE
6/22/2023,2556.00,2573.30,2532.00,2564.30,3516244.00,RELIANCE
6/21/2023,2557.00,2569.85,2548.00,2557.10,3212779.00,RELIANCE
6/20/2023,2547.55,2564.00,2535.00,2551.80,3194085.00,RELIANCE
6/19/2023,2584.00,2584.00,2542.65,2577.40,3137532.00,RELIANCE
6/16/2023,2560.20,2582.40,2560.20,2552.55,11155180.00,RELIANCE
6/15/2023,2551.80,2562.55,2535.50,2551.85,5451926.00,RELIANCE
6/14/2023,2521.00,2555.00,2517.00,2520.85,6127509.00,RELIANCE
6/13/2023,2495.00,2523.45,2486.25,2484.15,5190958.00,RELIANCE
6/12/2023,2475.50,2489.20,2465.00,2481.95,2949893.00,RELIANCE
6/9/2023,2507.00,2508.55,2478.00,2499.65,2712243.00,RELIANCE
6/8/2023,2506.00,2516.85,2491.00,2498.15,5570815.00,RELIANCE
6/7/2023,2487.00,2500.00,2472.60,2479.35,4759238.00,RELIANCE
6/6/2023,2483.45,2487.70,2462.00,2477.25,3458161.00,RELIANCE
6/5/2023,2467.20,2483.75,2458.45,2455.20,5034355.00,RELIANCE
6/2/2023,2471.00,2482.85,2451.00,2463.25,7291995.00,RELIANCE
6/1/2023,2480.15,2484.90,2458.00,2469.90,6734525.00,RELIANCE
5/31/2023,2500.00,2509.85,2461.00,2519.95,12510304.00,RELIANCE
5/30/2023,2520.60,2537.70,2514.35,2520.60,5234564.00,RELIANCE
5/29/2023,2521.00,2530.00,2507.20,2506.50,4619754.00,RELIANCE
5/26/2023,2458.00,2509.00,2450.75,2439.95,5827017.00,RELIANCE
5/25/2023,2433.90,2449.00,2416.05,2440.25,5301647.00,RELIANCE
5/24/2023,2445.90,2464.00,2433.45,2454.55,3743804.00,RELIANCE
5/23/2023,2460.65,2468.00,2451.45,2455.00,2811473.00,RELIANCE
5/22/2023,2435.00,2466.00,2432.35,2441.95,3431208.00,RELIANCE
5/19/2023,2434.05,2445.95,2418.85,2434.05,3715280.00,RELIANCE
5/18/2023,2449.55,2457.00,2427.15,2439.30,4857531.00,RELIANCE
5/17/2023,2463.00,2465.00,2429.00,2453.80,4060722.00,RELIANCE
5/16/2023,2494.00,2499.60,2450.15,2489.25,4023000.00,RELIANCE
5/15/2023,2489.90,2504.55,2473.15,2484.35,3153587.00,RELIANCE
5/12/2023,2469.80,2487.40,2456.50,2480.30,3209889.00,RELIANCE
5/11/2023,2498.95,2509.50,2476.55,2496.60,4872451.00,RELIANCE
5/10/2023,2490.00,2499.85,2481.20,2479.55,5017544.00,RELIANCE
5/9/2023,2475.00,2486.80,2463.25,2471.90,2983468.00,RELIANCE
5/8/2023,2450.00,2483.65,2444.15,2441.75,4224469.00,RELIANCE
5/5/2023,2441.00,2461.35,2436.00,2448.00,4036548.00,RELIANCE
5/4/2023,2421.15,2452.85,2414.60,2420.10,3985159.00,RELIANCE
5/3/2023,2445.00,2445.00,2413.05,2441.05,3259053.00,RELIANCE
5/2/2023,2436.20,2445.80,2428.10,2420.50,5991101.00,RELIANCE
4/28/2023,2382.00,2423.90,2381.75,2377.05,7183342.00,RELIANCE
4/27/2023,2375.00,2384.00,2364.00,2362.10,4230627.00,RELIANCE
4/26/2023,2379.00,2386.10,2354.05,2376.05,3977129.00,RELIANCE
4/25/2023,2366.00,2380.60,2350.50,2358.00,4262471.00,RELIANCE
4/24/2023,2375.00,2380.90,2348.00,2349.00,5970048.00,RELIANCE
4/21/2023,2350.65,2361.00,2336.40,2346.05,3529236.00,RELIANCE
4/20/2023,2354.10,2359.00,2332.10,2352.00,3233882.00,RELIANCE
4/19/2023,2339.05,2357.90,2332.20,2340.35,5664207.00,RELIANCE
4/18/2023,2377.00,2377.00,2326.00,2367.45,4802172.00,RELIANCE
4/17/2023,2424.95,2424.95,2349.05,2355.50,8274452.00,RELIANCE
4/13/2023,2353.00,2365.80,2342.00,2346.65,"57,12,541",RELIANCE
4/12/2023,2336.35,2367.80,2330.05,2336.35,"83,89,646",RELIANCE
4/11/2023,2334.00,2341.00,2324.05,2324.85,"48,65,301",RELIANCE
